        ID,DATUM   ,MELDING                                                                         ,HARVESTSESSIONID,TIJD    ,HARVESTMAP
 222058036,20181212,The remote server returned an error: (500) Internal Server Error.    at System.N,       222058035,20:01:13,geneious dna extract plates
 222058038,20181212,The remote server returned an error: (500) Internal Server Error.    at System.N,       222058037,20:02:12,geneious dna extracts
 222058040,20181212,The remote server returned an error: (500) Internal Server Error.    at System.N,       222058039,20:03:11,geneious specimens
 222058381,20181212,ZMA.INS.1347051_1 Description does not exist                                    ,       222058042,20:03:51,Onbekende harvestsource
 222067574,20181212,RMNH.INS.1053640_1 Description does not exist                                   ,       222058042,20:26:20,Onbekende harvestsource
 222067570,20181212,RMNH.INS.1053566_1 Description does not exist                                   ,       222058042,20:26:19,Onbekende harvestsource
 222067569,20181212,RMNH.INS.1053657_1 Description does not exist                                   ,       222058042,20:26:19,Onbekende harvestsource
 222067568,20181212,RMNH.INS.1053630_1 Description does not exist                                   ,       222058042,20:26:19,Onbekende harvestsource
 222067567,20181212,RMNH.INS.1053596_1 Description does not exist                                   ,       222058042,20:26:19,Onbekende harvestsource
 222067401,20181212,RMNH.INS.1053651_1 Description does not exist                                   ,       222058042,20:25:42,Onbekende harvestsource
 222067398,20181212,RMNH.INS.1053629_1 Description does not exist                                   ,       222058042,20:25:41,Onbekende harvestsource
 222067397,20181212,RMNH.INS.1053616_1 Description does not exist                                   ,       222058042,20:25:41,Onbekende harvestsource
 222067396,20181212,RMNH.INS.1053564_1 Description does not exist                                   ,       222058042,20:25:41,Onbekende harvestsource
 222067393,20181212,RMNH.INS.1053655_1 Description does not exist                                   ,       222058042,20:25:40,Onbekende harvestsource
 222067229,20181212,ZMA.INS.1349891_1 Description does not exist                                    ,       222058042,20:25:04,Onbekende harvestsource
 222067228,20181212,ZMA.INS.1349757_1 Description does not exist                                    ,       222058042,20:25:04,Onbekende harvestsource
 222067227,20181212,ZMA.INS.1350020_1 Description does not exist                                    ,       222058042,20:25:04,Onbekende harvestsource
 222067226,20181212,ZMA.INS.1350061_1 Description does not exist                                    ,       222058042,20:25:04,Onbekende harvestsource
 222067221,20181212,ZMA.INS.1349986_1 Description does not exist                                    ,       222058042,20:25:03,Onbekende harvestsource
 222067084,20181212,ZMA.INS.1350029_1 Description does not exist                                    ,       222058042,20:24:35,Onbekende harvestsource
 222067078,20181212,ZMA.INS.1349952_1 Description does not exist                                    ,       222058042,20:24:33,Onbekende harvestsource
 222067077,20181212,ZMA.INS.1349857_1 Description does not exist                                    ,       222058042,20:24:33,Onbekende harvestsource
 222067075,20181212,ZMA.INS.1350014_1 Description does not exist                                    ,       222058042,20:24:33,Onbekende harvestsource
 222067074,20181212,ZMA.INS.1350054_1 Description does not exist                                    ,       222058042,20:24:32,Onbekende harvestsource
 222066922,20181212,ZMA.INS.1349837_1 Description does not exist                                    ,       222058042,20:23:59,Onbekende harvestsource
 222066921,20181212,ZMA.INS.1349746_1 Description does not exist                                    ,       222058042,20:23:59,Onbekende harvestsource
 222066920,20181212,ZMA.INS.1349879_1 Description does not exist                                    ,       222058042,20:23:59,Onbekende harvestsource
 222066918,20181212,ZMA.INS.1349835_1 Description does not exist                                    ,       222058042,20:23:59,Onbekende harvestsource
 222066917,20181212,ZMA.INS.1349977_1 Description does not exist                                    ,       222058042,20:23:58,Onbekende harvestsource
 222066772,20181212,ZMA.INS.1349887_1 Description does not exist                                    ,       222058042,20:23:28,Onbekende harvestsource
 222066768,20181212,ZMA.INS.1350005_1 Description does not exist                                    ,       222058042,20:23:27,Onbekende harvestsource
 222066766,20181212,ZMA.INS.1350001_1 Description does not exist                                    ,       222058042,20:23:27,Onbekende harvestsource
 222066765,20181212,ZMA.INS.1349984_1 Description does not exist                                    ,       222058042,20:23:27,Onbekende harvestsource
